,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
907,Macklemore & Ryan Lewis5,Macklemore & Ryan Lewis,Glasgow,O2 Academy Glasgow,Macklemore: The Ben Tour,Hip-Hop/Rap,0,4,36.0,36.0,G5vHZ94lvwNuI,77,1567442.0
908,Macklemore & Ryan Lewis6,Macklemore & Ryan Lewis,Manchester,O2 Victoria Warehouse Manchester,Macklemore: The Ben Tour,Hip-Hop/Rap,1,4,36.0,36.0,G5vHZ94nJbw8m,77,4558.0
909,Macklemore & Ryan Lewis7,Macklemore & Ryan Lewis,Birmingham,O2 Academy Birmingham,Macklemore: The Ben Tour,Hip-Hop/Rap,0,4,94.5,42.0,G5vHZ94nh6-my,77,1469845.0
910,Macklemore & Ryan Lewis8,Macklemore & Ryan Lewis,London,O2 Academy Brixton,Macklemore: The Ben Tour,Hip-Hop/Rap,0,4,86.5,38.5,G5vHZ94XxtxoC,77,270934.0
911,Macklemore & Ryan Lewis9,Macklemore & Ryan Lewis,Glasgow,O2 Academy Glasgow,Macklemore: The Ben Tour - VIP,Hip-Hop/Rap,0,4,93.0,93.0,G5vHZ9pLpubk8,77,1144.0
912,Macklemore & Ryan Lewis11,Macklemore & Ryan Lewis,Vorst,Vorst Nationaal/Forest National,Macklemore: The Ben Tour,Hip-Hop/Rap,0,4,101.0,46.0,Z698xZG2ZaGT4,77,1394928.0
913,Macklemore & Ryan Lewis17,Macklemore & Ryan Lewis,Warsaw,EXPO XXI,Macklemore: THE BEN TOUR,Hip-Hop/Rap,1,4,246.0,246.0,Z698xZQpZak-K,77,6367.0
914,Macklemore & Ryan Lewis19,Macklemore & Ryan Lewis,Dublin,3Arena,MacKlemore: the Ben Tour - VIP Packages,Hip-Hop/Rap,0,4,113.65,113.65,G5vOZ9pjcA_4l,77,5605.0
915,The Beach Boys0,The Beach Boys,St Augustine,The St. Augustine Amphitheatre,The Beach Boys,Rock,1,2,114.0,44.0,G5eFZ99p4R5v2,74,1506.0
916,The Beach Boys1,The Beach Boys,Lincoln,The Venue at Thunder Valley Casino Resort,The Beach Boys,Rock,1,3,174.95,54.95,G5vYZ9fByjPHn,74,601723.0
917,The Beach Boys2,The Beach Boys,Coconut Creek,The Stage At Coco Outdoors,The Beach Boys,Rock,0,3,150.0,60.0,vvG1VZ9pBXRjxp,74,1024027.0
918,The Beach Boys3,The Beach Boys,Orlando,Hard Rock Live Orlando,The Beach Boys,Rock,0,2,86.5,65.5,G5eFZ9b5G7ukw,74,9242.0
919,The Beach Boys4,The Beach Boys,Temecula,Pechanga Resort Casino,The Beach Boys,Rock,0,3,150.0,105.0,vvG1IZ9pj-34fR,74,2753.0
920,The Beach Boys5,The Beach Boys,Welch,Treasure Island Resort & Casino,Tis the Season with The Beach Boys,Rock,0,12,89.0,59.0,vvG1bZpg5PNEQj,74,2080.0
921,The Beach Boys6,The Beach Boys,Indianapolis,Old National Centre,Tis the Season: The Beach Boys ft. Holiday Vibrations Orchestra,Rock,0,12,129.5,39.5,vvG1fZ9KhbkSxq,74,8018.0
922,The Beach Boys7,The Beach Boys,Chicago,The Chicago Theatre,Tis the Season with The Beach Boys ft the Holiday Vibrations Orchestra,Rock,1,12,133.5,58.0,vvG1jZ9KrqbonA,74,3200.0
923,The Notorious B.I.G.0,The Notorious B.I.G.,Brooklyn,Brooklyn Bowl,The Frank White Experience: A Live Band Tribute to The Notorious B.I.G.,R&B,0,1,17.0,17.0,rZ7HnEZ1A3QZJA,78,4817.0
924,The Notorious B.I.G.1,The Notorious B.I.G.,Philadelphia,Brooklyn Bowl Philadelphia,The Frank White Experience: A Live Band Tribute to The Notorious B.I.G.,R&B,1,1,15.0,15.0,rZ7HnEZ1A3QvF4,78,2883.0
925,Danny Ocean0,Danny Ocean,Hidalgo,Payne Arena,Danny Ocean,Latin,1,2,141.5,31.5,G5dIZ93BfZwLb,79,8018.0
926,Danny Ocean1,Danny Ocean,San Antonio,Aztec Theatre,Danny Ocean,Latin,0,2,64.5,44.5,G5dIZ9KuVTo7R,79,9617.0
927,Danny Ocean3,Danny Ocean,Orlando,House of Blues Orlando,Danny Ocean - Tour 2023,Latin,1,2,99.5,39.5,G5eFZ93TsSuJR,79,600155.0
928,Danny Ocean4,Danny Ocean,Los Angeles,The Wiltern,Danny Ocean - Tour 2023,Latin,0,2,99.5,44.5,vvG10Z9Kd0rkPN,79,519949.0
